# Data taken from the book
#   Grant, PR, Grant, BR (2014) 40 years of evolution:
#   Darwin's finches on Daphne Major Island.
#   Princeton: Princeton University Press.
#
# Accessed throug the Dryad data package:
#   Grant PR, Grant BR(2014) Data from: 40 years of evolution.
#   Darwin's finches on Daphne Major Island. Dryad Digital Repository.
#   http://dx.doi.org/10.5061/dryad.g6g3h
#
# The data appear as in the original file
#        Fig. 10-03 data, 87.csv
#
band,species,"Beak length, mm","Beak depth, mm"
5576,scandens,13.83,9.28
14975,scandens,13.95,9.28
2877,scandens,15.09,9.28
10206,scandens,13.43,9.3
4778,scandens,13.7,9.3
5322,scandens,14,9.3
10207,scandens,14.15,9.3
10740,scandens,14.75,9.3
8450,scandens,14.9,9.3
10517,scandens,15,9.3
2758,scandens,13.56,9.32
14729,scandens,14.26,9.33
10743,scandens,13.83,9.34
13527,scandens,14.53,9.34
8444,scandens,14.84,9.34
15738,scandens,15,9.35
2445,scandens,13.76,9.37
5931,scandens,13.9,9.37
14728,scandens,14.29,9.37
15615,scandens,14.63,9.37
14646,scandens,14.3,9.38
13526,scandens,13.6,9.4
15343,scandens,14.4,9.4
10105,scandens,14.9,9.4
14645,scandens,14.9,9.4
2433,scandens,14.34,9.42
10268,scandens,14.53,9.43
10245,scandens,14.65,9.45
4706,scandens,14.8,9.5
14918,scandens,16,9.5
15694,scandens,13.14,9.51
15421,scandens,14.44,9.51
14208,scandens,12.73,9.52
1396,scandens,15.04,9.54
1444,scandens,14.85,9.55
4051,scandens,14.2,9.6
10061,scandens,15.2,9.6
4701,scandens,16,9.6
13257,scandens,14.47,9.62
2949,scandens,14.54,9.64
14946,scandens,14.9,9.65
5656,scandens,14.9,9.7
5608,scandens,15.8,9.7
15352,scandens,13.46,9.73
15817,scandens,14.77,9.73
4119,scandens,14.44,9.74
10223,scandens,15.2,9.8
2969,scandens,16,9.8
14648,scandens,14.4,9.82
15658,scandens,14.45,9.85
13256,scandens,15.35,9.85
8425,scandens,14.2,9.9
14524,scandens,15.3,9.9
10075,scandens,14.27,9.94
4137,scandens,15.8,10
14847,scandens,15.3,10.1
15886,scandens,11.24,10.11
14877,scandens,15.2,10.27
8036,scandens,15.44,10.34
14579,scandens,14.96,11.33
