# Data digitized from Fig. 14a of Phillips, Annu. Rev. Condens. Matter Phys. 2015. 6:85–111.
# Data are for Q18A mutant lac repressor.
[IPTG] (mM),fold change
9.4897068845641e-06,0.213514210553464
9.270247940633647e-05,0.25671154209865743
0.00019456274242902937,0.28426952769037683
0.00038672649807078616,0.34389711318581195
0.0007675898269530733,0.4183387493337461
0.0009368758732336757,0.4801739997592891
0.0015202885789386653,0.515001461460429
0.0018591060873450077,0.5570846443493064
0.003676901739312045,0.6685614071284883
0.0072842024653579675,0.762755110813088
0.014091778294639251,0.8371829920393393
0.028103105898409274,0.8622444593456099
0.047765559674526094,0.9489486081738624
0.056863778529023676,1.0033630783514729
0.09819923707163151,0.9246436615601522
0.10806432982401412,0.996299926067296
0.18639701531992064,0.9299255514863914
0.23936929898816184,0.9967263286394664
0.38075606090081776,0.9722838328089272
0.7378239557549735,1.0294286549405962
1.5193860270701942,0.9878406492323036
3.0329782355721098,1.0030260827702415
5.908058440937364,1.0058527191760804
12.432197274724123,1.006251611904885
24.11957378383328,1.051051391826138
