# The data come from Markus Meister's group from Dawna Bagherian and Kyu Lee, two grad students. They put electrodes in the retinal cells of a mouse and measured voltage. From the time trace of voltage, they can detect and characterize spiking events.
t (ms),V (uV)
718.52,10.94
718.56,13.33
718.6,4.06
718.64,8.96
718.68,14.17
718.72,1.88
718.76,4.17
718.8,7.08
718.84,-0.83
718.88,-3.23
718.92,20.0
718.96,5.42
719.0,-0.94
719.04,6.88
719.08,2.29
719.12,-3.85
719.16,20.94
719.2,5.52
719.24,3.54
719.28,13.13
719.32,1.88
719.36,-5.0
719.4,7.29
719.44,2.6
719.48,-7.71
719.52,0.83
719.56,-2.29
719.6,-1.56
719.64,7.92
719.68,15.1
719.72,1.77
719.76,2.81
719.8,12.6
719.84,1.88
719.88,1.77
719.92,6.25
719.96,-2.6
720.0,-9.48
720.04,9.27
720.08,-6.15
720.12,-16.25
720.16,7.71
720.2,-1.88
720.24,-8.13
720.28,-1.35
720.32,-7.5
720.36,-9.48
720.4,7.19
720.44,5.94
720.48,-1.88
720.52,9.69
720.56,9.38
720.6,-3.65
720.64,6.04
720.68,5.1
720.72,0.52
720.76,0.83
720.8,13.33
720.84,5.1
720.88,5.52
720.92,7.5
720.96,-0.83
721.0,-3.13
721.04,23.23
721.08,5.52
721.12,-8.75
721.16,0.0
721.2,-3.54
721.24,-1.46
721.28,16.35
721.32,2.4
721.36,-8.85
721.4,-0.42
721.44,-9.38
721.48,-15.83
721.52,0.1
721.56,2.19
721.6,-4.58
721.64,8.02
721.68,12.71
721.72,0.0
721.76,0.52
721.8,5.31
721.84,1.98
721.88,0.63
721.92,16.25
721.96,5.0
722.0,1.15
722.04,11.56
722.08,4.48
722.12,0.94
722.16,20.52
722.2,2.92
722.24,-7.29
722.28,8.23
722.32,0.94
722.36,-11.25
722.4,5.1
722.44,-5.94
722.48,-10.83
722.52,6.56
722.56,12.92
722.6,-2.19
722.64,6.77
722.68,12.5
722.72,-0.94
722.76,-2.19
722.8,-9.06
722.84,-14.79
722.88,-16.56
722.92,5.1
722.96,-5.31
723.0,-9.27
723.04,4.06
723.08,-2.6
723.12,-8.75
723.16,16.67
723.2,4.38
723.24,-6.04
723.28,4.48
723.32,-4.9
723.36,-5.83
723.4,15.52
723.44,11.15
723.48,-7.92
723.52,1.04
723.56,4.27
723.6,-7.19
723.64,5.83
723.68,7.5
723.72,-1.46
723.76,1.15
723.8,14.58
723.84,-2.5
723.88,-3.85
723.92,-1.04
723.96,-11.77
724.0,-16.77
724.04,5.0
724.08,-9.06
724.12,-11.15
724.16,13.75
724.2,-1.98
724.24,-10.21
724.28,1.46
724.32,-3.13
724.36,-7.29
724.4,13.75
724.44,12.71
724.48,-3.75
724.52,6.56
724.56,9.27
724.6,2.71
724.64,5.52
724.68,-0.94
724.72,0.0
724.76,9.17
724.8,13.54
724.84,-5.83
724.88,-8.23
724.92,3.44
724.96,-2.6
725.0,-0.1
725.04,22.19
725.08,0.63
725.12,-10.83
725.16,1.67
725.2,-3.65
725.24,-11.35
725.28,8.33
725.32,-0.31
725.36,-10.63
725.4,-1.56
725.44,-1.46
725.48,-3.23
725.52,9.27
725.56,13.85
725.6,1.35
725.64,4.48
725.68,13.85
725.72,-1.25
725.76,-3.33
725.8,-0.21
725.84,-3.33
725.88,-0.83
725.92,20.63
725.96,2.19
726.0,-6.77
726.04,-1.46
726.08,-10.1
726.12,-10.21
726.16,15.73
726.2,0.73
726.24,-7.5
726.28,10.94
726.32,0.21
726.36,-1.67
726.4,8.02
726.44,-1.98
726.48,-5.31
726.52,8.33
726.56,12.4
726.6,0.94
726.64,6.67
726.68,11.04
726.72,-5.63
726.76,5.1
726.8,11.15
726.84,2.81
726.88,2.29
726.92,20.63
726.96,1.35
727.0,-4.58
727.04,2.71
727.08,-5.42
727.12,-10.94
727.16,17.5
727.2,9.9
727.24,1.46
727.28,2.6
727.32,-13.02
727.36,-18.02
727.4,7.6
727.44,7.81
727.48,1.56
727.52,8.75
727.56,6.04
727.6,-4.69
727.64,-1.15
727.68,-5.21
727.72,-8.23
727.76,0.94
727.8,16.98
727.84,3.23
727.88,1.46
727.92,7.71
727.96,-1.67
728.0,-9.06
728.04,13.75
728.08,-0.63
728.12,-1.98
728.16,10.0
728.2,-1.46
728.24,-6.15
728.28,15.73
728.32,8.33
728.36,0.83
728.4,17.4
728.44,5.0
728.48,-7.19
728.52,11.25
728.56,16.25
728.6,-2.08
728.64,4.17
728.68,-2.81
728.72,-4.27
728.76,6.35
728.8,15.73
728.84,3.23
728.88,-1.67
728.92,-0.42
728.96,-9.69
729.0,-16.35
729.04,9.27
729.08,-3.13
729.12,-10.21
729.16,1.77
729.2,-11.98
729.24,-14.9
729.28,7.92
729.32,2.19
729.36,-1.35
729.4,12.4
729.44,1.67
729.48,-10.63
729.52,1.25
729.56,8.65
729.6,1.98
729.64,11.56
729.68,15.0
729.72,3.54
729.76,4.9
729.8,4.38
729.84,2.29
729.88,-0.83
729.92,22.4
729.96,6.77
730.0,-7.08
730.04,-6.56
730.08,-13.96
730.12,-11.98
730.16,16.35
730.2,0.42
730.24,-10.31
730.28,9.48
730.32,-1.15
730.36,-10.1
730.4,0.83
730.44,-6.25
730.48,-13.23
730.52,4.48
730.56,11.25
730.6,1.04
730.64,3.33
730.68,10.0
730.72,-6.04
730.76,-3.75
730.8,3.85
730.84,-1.56
730.88,-3.33
730.92,17.19
730.96,4.06
731.0,-7.19
731.04,-1.98
731.08,-9.48
731.12,-10.42
731.16,13.75
731.2,6.35
731.24,-4.9
731.28,5.94
731.32,-6.56
731.36,-7.6
731.4,12.4
731.44,6.67
731.48,-5.52
731.52,1.98
731.56,3.02
731.6,-16.77
731.64,-10.31
731.68,-10.1
731.72,-15.52
731.76,-5.94
731.8,11.88
731.84,-3.13
731.88,-6.46
731.92,3.02
731.96,-3.13
732.0,-5.83
732.04,21.56
732.08,3.13
732.12,-5.21
732.16,7.4
732.2,0.52
732.24,-2.6
732.28,18.54
732.32,12.29
732.36,1.35
732.4,22.81
732.44,15.0
732.48,1.77
732.52,9.58
732.56,7.19
732.6,-6.35
732.64,-1.15
732.68,-1.04
732.72,-6.77
732.76,-4.48
732.8,8.02
732.84,-11.67
732.88,-12.81
732.92,1.25
732.96,-3.44
733.0,-5.73
733.04,19.69
733.08,-1.46
733.12,-13.13
733.16,-4.79
733.2,-10.63
733.24,-15.94
733.28,9.9
733.32,-0.31
733.36,-9.38
733.4,-2.71
733.44,-15.0
733.48,-15.63
733.52,2.6
733.56,2.19
733.6,-6.25
733.64,0.1
733.68,11.35
733.72,-1.35
733.76,-0.52
733.8,-0.83
733.84,-9.9
733.88,-10.31
733.92,10.52
733.96,-6.35
734.0,-13.23
734.04,-4.69
734.08,-9.17
734.12,-11.25
734.16,9.38
734.2,0.73
734.24,-7.5
734.28,-2.08
734.32,-13.44
734.36,-18.23
734.4,3.33
734.44,4.79
734.48,-4.9
734.52,11.98
734.56,10.94
734.6,-1.77
734.64,-0.31
734.68,6.98
734.72,-8.65
734.76,-10.21
734.8,-3.75
734.84,-3.96
734.88,-5.0
734.92,14.69
734.96,1.46
735.0,-3.13
735.04,9.69
735.08,1.77
735.12,-5.42
735.16,11.67
735.2,-1.67
735.24,-9.27
735.28,0.63
735.32,-7.6
735.36,-7.4
735.4,6.04
735.44,7.19
735.48,-1.77
735.52,11.67
735.56,9.9
735.6,-6.04
735.64,3.85
735.68,-2.19
735.72,-12.19
735.76,-10.52
735.8,7.81
735.84,1.67
735.88,0.42
735.92,6.56
735.96,-7.5
736.0,-10.42
736.04,17.08
736.08,0.31
736.12,-6.67
736.16,-0.21
736.2,-8.75
736.24,-8.75
736.28,9.9
736.32,-4.17
736.36,-11.56
736.4,-2.81
736.44,-13.85
736.48,-11.46
736.52,5.73
736.56,21.04
736.6,-0.21
736.64,0.73
